available,neontheme,category,highertaxon,lowertaxon,sampletype,collid,institutioncode,collectioncode,fullname,neonsampleclass,description,dwcaurl,gbif,neondataproduct
TRUE,"Biogeochemistry, Organisms, Populations, and Communities",Microbes,Microbes,"Benthic Microbes","Frozen Sample",5,NEON,BEMC-SF,"Benthic Microbe Collection (Sterivex Filters)",amb_fieldParent_in.archiveID,"Bulk benthic microbes collected as part of NEON benthic microbe sampling protocols conducted 3 times annually at wadeable streams. Archived on Sterivex SVGP capsule filters at -80 degrees C.",https://biorepo.neonscience.org/portal/content/dwca/NEON-BEMC-SF_DwC-A.zip,"not published",https://data.neonscience.org/documents/10179/1883159/NEON.DOC.003044vD/6d60d722-b43e-4654-bca3-524527771e66
TRUE,"Biogeochemistry, Organisms, Populations, and Communities",Microbes,Microbes,"Soil Microbes","Frozen Sample",31,NEON,SOMC-BS,"Soil Microbe Collection (Bulk Subsamples)","sls_soilCoreCollection_in.geneticArchiveSample1ID,sls_soilCoreCollection_in.geneticArchiveSample2ID,sls_soilCoreCollection_in.geneticArchiveSample3ID,sls_soilCoreCollection_in.geneticArchiveSample4ID,sls_soilCoreCollection_in.geneticArchiveSample5ID","Bulk soil subsample collected from up to 30 cm depth as part of NEON terrestrial soil sampling protocols conducted 3 times annually. Soil sample was homogenized across 3 samples taken from a single plot. Archived in liquid nitrogen.",https://biorepo.neonscience.org/portal/content/dwca/NEON-SOMC-BS_DwC-A.zip,"not published",https://data.neonscience.org/documents/10179/1883155/NEON.DOC.014048vM/6708d96d-3198-fba5-7854-b9aa9b2a4925
TRUE,"Biogeochemistry, Organisms, Populations, and Communities",Microbes,Microbes,"Soil Microbes","DNA Sample",69,NEON,SOMC-DNA,"Soil Microbe Collection (DNA Extracts )",mic_dnaExtraction_in.soilDnaSampleID,"Genomic extracts from a bulk soil microbe sample collected from up to 30 cm depth as part of NEON terrestrial soil sampling protocols conducted annually. Soil sample was homogenized across 3 samples taken from a single plot. Used for metabarcoding and archived at -80 degrees C.",NULL,"not published",https://data.neonscience.org/data-products/DP1.10107.001
TRUE,"Biogeochemistry, Organisms, Populations, and Communities",Microbes,Microbes,"Surface Water Microbes","DNA Sample",68,NEON,SWMC-DNA,"Surface Water Microbe Collection (DNA Extracts)",mic_dnaExtraction_in.amcDnaSampleID,"Genomic extracts from bulk surface water microbes collected as part of NEON surface microbe sampling protocols conducted 12 times annually at wadeable streams and 6 times annually at lakes and rivers. Used for metabarcoding and archived at -80 degrees C.",NULL,"not published",https://data.neonscience.org/data-products/DP1.20281.001
TRUE,"Biogeochemistry, Organisms, Populations, and Communities",Microbes,Microbes,"Surface Water Microbes","Frozen Sample",6,NEON,SWMC-SF,"Surface Water Microbe Collection (Sterivex Filters)",amc_fieldCellCounts_in.archiveID,"Bulk surface water microbes collected as part of NEON surface microbe sampling protocols conducted 12 times annually at wadeable streams and 6 times annually at lakes and rivers. Archived on Sterivex SVGP capsule filters at -80 degrees C.",https://biorepo.neonscience.org/portal/content/dwca/NEON-SWMC-SF_DwC-A.zip,"not published",https://data.neonscience.org/documents/10179/1883159/NEON.DOC.003044vD/6d60d722-b43e-4654-bca3-524527771e66
TRUE,"Organisms, Populations, and Communities",Plants,"Aquatic plants, bryophytes, lichens, and macroalgae","Aquatic Plant, Bryophyte, and Lichen","Dry Sample",8,NEON,APLC-HVSS,"Aquatic Plant, Bryophyte, Lichen and Macroalgae Collection (Herbarium Vouchers [Standard Sampling])",apc_voucher_in.sampleID,"Dry herbarium voucher specimen collected as part of the NEON aquatic clip harvest protocol conducted annually at wadeable streams and 3 times annually at rivers and lakes.",https://biorepo.neonscience.org/portal/content/dwca/NEON-APLC-HVSS_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.20072.001
TRUE,"Organisms, Populations, and Communities",Plants,"Aquatic plants, bryophytes, lichens, and macroalgae","Aquatic Plant, Bryophyte, and Lichen","Dry Sample",9,NEON,APLC-HVCH,"Aquatic Plant, Bryophyte, Lichen, and Macroalgae Collection (Herbarium Vouchers [Clip Harvests])",apl_domainLab_in.sampleIDplant,"Dry herbarium voucher specimen collected as part of the NEON aquatic point count protocol conducted 1-3 times annually at wadeable streams.",https://biorepo.neonscience.org/portal/content/dwca/NEON-APLC-HVCH_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.20066.001
TRUE,"Organisms, Populations, and Communities",Plants,"Aquatic plants, bryophytes, lichens, and macroalgae","Aquatic Plant, Bryophyte, and Lichen","Dry Sample",7,NEON,APLC-HVPC,"Aquatic Plant, Bryophyte, Lichen, and Macroalgae Collection (Herbarium Vouchers [Point Counts])",apc_perTaxon_in.sampleIDplant,"Dry herbarium voucher specimen collected as part of the NEON aquatic standard sample protocol conducted 3 times annually at wadeable streams.",https://biorepo.neonscience.org/portal/content/dwca/NEON-APLC-HVPC_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.20072.001
TRUE,"Organisms, Populations, and Communities",Plants,Environmental,,"Environmental Sample",76,NEON,TPLC-BBM,"Terrestrial Plant Collection (Belowground Biomass [Megapit])",mpr_perrootsample_in.archiveID,"Sample of belowground biomass collected as part of the NEON megapit soil sampling protocol that occurred once at the initiation of the site. Archived dried and ground at room temperature.",NULL,"not published",https://data.neonscience.org/data-products/DP1.10066.001
TRUE,"Organisms, Populations, and Communities",Plants,Environmental,,"Environmental Sample",10,NEON,TPLC-BBS,"Terrestrial Plant Collection (Belowground Biomass [Standard Sampling])",bbc_chemistryPooling_in.bgcArchiveID,"Sample of belowground biomass collected at a maximum depth of 30 cm as part of the standard NEON terrestrial plant biomass survey protocols conducted every five years. Only live biomass is archived and stored dried and ground at room temperature.",https://biorepo.neonscience.org/portal/content/dwca/NEON-TPLC-BBS_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.10067.001
